Besetzt,ID,Date_in,Timestamp_in,Date_out,Timestamp_out
False,3,27/Oct/2023,13:00:00,27/Oct/2023,13:30:00
False,4,27/Oct/2023,13:00:01,27/Oct/2023,13:30:01
False,5,27/Oct/2023,13:00:02,27/Oct/2023,13:30:02
False,47,27/Oct/2023,13:00:00,27/Oct/2023,13:30:00
False,48,27/Oct/2023,13:00:01,27/Oct/2023,13:30:01
False,49,27/Oct/2023,13:00:02,27/Oct/2023,13:30:02
False,50,27/Oct/2023,13:00:03,27/Oct/2023,13:30:03
True,114,27/Oct/2023,13:00:00,,
True,115,27/Oct/2023,13:00:01,,
True,116,27/Oct/2023,13:00:02,,
