ID,Wiederbeschaffungszeit,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.10,0
4.0,0.0,,,,,,,,,,,,
,,5.0,,,,,,,,,,,
,,0.0,,,,,,,,,,,
,,,5.0,,,,,,,,,,
,,,0.0,,,,,,,,,,
,,,,46.0,,,,,,,,,
,,,,0.0,,,,,,,,,
,,,,,46.0,,,,,,,,
,,,,,0.0,,,,,,,,
,,,,,47.0,,,,,,,,
,,,,,0.0,,,,,,,,
,,,,,,46.0,,,,,,,
,,,,,,0.0,,,,,,,
,,,,,,47.0,,,,,,,
,,,,,,0.0,,,,,,,
,,,,,,48.0,,,,,,,
,,,,,,0.0,,,,,,,
,,,,,,,46.0,,,,,,
,,,,,,,0.0,,,,,,
,,,,,,,47.0,,,,,,
,,,,,,,0.0,,,,,,
,,,,,,,48.0,,,,,,
,,,,,,,0.0,,,,,,
,,,,,,,49.0,,,,,,
,,,,,,,0.0,,,,,,
,,,,,,,,47.0,,,,,
,,,,,,,,0.0,,,,,
,,,,,,,,48.0,,,,,
,,,,,,,,0.0,,,,,
,,,,,,,,49.0,,,,,
,,,,,,,,0.0,,,,,
,,,,,,,,,48.0,,,,
,,,,,,,,,0.0,,,,
,,,,,,,,,49.0,,,,
,,,,,,,,,0.0,,,,
,,,,,,,,,,49.0,,,
,,,,,,,,,,0.0,,,
,,,,,,,,,,,116.0,,
,,,,,,,,,,,0.0,,
,,,,,,,,,,,,116.0,
,,,,,,,,,,,,0.0,
,,,,,,,,,,,,117.0,
,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,116.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,117.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,118.0
,,,,,,,,,,,,,0.0
