Bestandsmenge,Kapazitaet,Lagernutzungsgrad,Bestandsgenauigkeit,Durchschnittliche Wartezeit,Lagerumschlagsrate,Reichweite,Wiederbeschaffungszeit
12.0,20.0,60,100,0.020833333333333332,0.10416666666666667,0.0625,0.0
LG4,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,1,13:00:00,29.10.2023,4.0,4.0,4.0,-
Box 2,1,13:00:01,29.10.2023,4.0,4.0,4.0,-
Box 3,1,13:00:02,29.10.2023,4.0,4.0,4.0,-
Box 4,0,-,-,-,-,-,-
Box 5,0,-,-,-,-,-,-
Box 6,0,-,-,-,-,-,-
Box 7,0,-,-,-,-,-,-
Box 8,0,-,-,-,-,-,-
