Besetzt,ID,Date_in,Timestamp_in,Date_out,Timestamp_out
False,1,27/Oct/2023,13:00:00,27/Oct/2023,13:30:00
False,2,27/Oct/2023,13:00:01,27/Oct/2023,13:30:01
False,32,27/Oct/2023,13:00:00,27/Oct/2023,13:30:00
False,33,27/Oct/2023,13:00:01,27/Oct/2023,13:30:01
False,34,27/Oct/2023,13:00:02,27/Oct/2023,13:30:02
False,35,27/Oct/2023,13:00:03,27/Oct/2023,13:30:03
True,99,27/Oct/2023,13:00:00,,
True,100,27/Oct/2023,13:00:01,,
True,101,27/Oct/2023,13:00:02,,
True,102,27/Oct/2023,13:00:03,,
True,103,27/Oct/2023,13:00:04,,
