Bestandsmenge,Kapazitaet,Lagernutzungsgrad,Bestandsgenauigkeit,Durchschnittliche Wartezeit,Lagerumschlagsrate,Reichweite,Wiederbeschaffungszeit
20.0,20.0,100,100,0.020834986770833334,0.10416666666666667,0.10416666666666667,0.0
LK2,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,1,03:00:00,13.10.2023,4.0,4.0,4.0,-
Box 2,1,03:00:01,13.10.2023,4.0,4.0,4.0,-
Box 3,1,03:00:02,13.10.2023,4.0,4.0,4.0,-
Box 4,1,03:00:03,13.10.2023,4.0,4.0,4.0,-
Box 5,1,03:00:04,13.10.2023,4.0,4.0,4.0,-
Box 6,0,-,-,-,-,-,-
Box 7,0,-,-,-,-,-,-
Box 8,0,-,-,-,-,-,-
