Hour,Topic,traceId,id,organisationId,carrierActionType,carrierId,currentCount,laneAddress
04:03:22,organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc,ed4f8c9f-020b-40e5-9ea3-7807f888d7db,cd41be80-c749-4832-b8ba-0b9f116deded,b6c197fa-c1d2-43ec-930f-57daf8c7aa9b,CARRIER_ACTION_PICK,,2,S001.M005.01.03
04:03:56,organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc,1403619c-36b2-4196-96ad-a338d35e9592,a9b20fad-355e-44ab-908b-2ad584e058fd,b6c197fa-c1d2-43ec-930f-57daf8c7aa9b,CARRIER_ACTION_PICK,,2,S001.M006.02.04
04:04:00,organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc,85b21efd-fa25-4b57-bedd-e4a49da80cfc,32fd866c-0e91-410f-b5ca-5f5f624af094,b6c197fa-c1d2-43ec-930f-57daf8c7aa9b,CARRIER_ACTION_PUT,,3,S001.M006.02.04
04:04:06,organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc,0e77c8cc-2e35-404d-9be9-d5235e4e8399,bac6afbc-bc53-4311-a445-062c8ff716eb,b6c197fa-c1d2-43ec-930f-57daf8c7aa9b,CARRIER_ACTION_PICK,,2,S001.M006.02.04
04:04:08,organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc,855dc282-5e8c-4802-b24a-5c1646c7241f,7a48e15d-7bf8-486f-ba97-c254574504a0,b6c197fa-c1d2-43ec-930f-57daf8c7aa9b,CARRIER_ACTION_PUT,,3,S001.M006.02.04
04:04:25,organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc,a6c39740-e695-4d3c-9724-b0324dc5de1e,15b076a3-400b-45b7-adbf-c8f1d8a8a50b,b6c197fa-c1d2-43ec-930f-57daf8c7aa9b,CARRIER_ACTION_PUT,,3,S001.M005.01.03
04:07:31,organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc,1ec6d222-b0dc-4f66-af06-1488cad46a5c,3f78dee5-f376-4ca8-bcc9-d158b40ae865,b6c197fa-c1d2-43ec-930f-57daf8c7aa9b,CARRIER_ACTION_PICK,,2,S001.M006.02.02
04:08:52,organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc,ace7be4e-8bd5-4cb6-869d-3b875a9d781e,d77e2839-64ca-4a76-b501-4d58d683962d,b6c197fa-c1d2-43ec-930f-57daf8c7aa9b,CARRIER_ACTION_PUT,,3,S001.M006.02.02
04:08:57,organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc,8b829fc3-2cbd-44de-a867-51ff5f377f4e,8d266181-debc-47fb-b91c-8b03f9fbdd16,b6c197fa-c1d2-43ec-930f-57daf8c7aa9b,CARRIER_ACTION_PICK,,2,S001.M006.02.02
04:09:19,organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc,d3821cc2-2bf2-4957-b801-a39878f2c20d,42936a9d-2960-4d7b-ade8-7a7c1cc40212,b6c197fa-c1d2-43ec-930f-57daf8c7aa9b,CARRIER_ACTION_PICK,,0,S001.M004.04.02
04:09:48,organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc,82f780cb-0982-4417-9a9b-42443e4aea55,e600cd5f-e1e2-4e41-af19-30f879776fa6,b6c197fa-c1d2-43ec-930f-57daf8c7aa9b,CARRIER_ACTION_PUT,,1,S001.M004.04.02
04:10:01,organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc,ac71cbae-efe0-4e18-96b1-bae564898b64,90b7161a-efbb-46a5-8eb4-ef53cfe6ec14,b6c197fa-c1d2-43ec-930f-57daf8c7aa9b,CARRIER_ACTION_PUT,,3,S001.M006.02.02
04:10:15,organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc,4760dc12-d090-426c-9ba1-c4c2018ba230,9cd06ca8-853d-422f-9d12-7d6fa37c280a,b6c197fa-c1d2-43ec-930f-57daf8c7aa9b,CARRIER_ACTION_PICK,,2,S001.M007.02.02
04:11:58,organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc,fc22a98e-4fd2-44c3-bc46-dffc08553036,e4716146-e062-4025-a49f-2b2cf0c94b72,b6c197fa-c1d2-43ec-930f-57daf8c7aa9b,CARRIER_ACTION_PUT,,3,S001.M007.02.02
04:16:15,organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc,0ee07ea7-550e-4bbf-8527-a733f9e2d9dd,daf777ac-21d3-4555-8b6a-05fb5e5f7569,b6c197fa-c1d2-43ec-930f-57daf8c7aa9b,CARRIER_ACTION_PICK,,7,S001.M006.02.05
