Date,Hour,Topic,traceId,id,organisationId,carrierActionType,carrierId,currentCount,laneAddress
27/Oct/2023,01:00:00,organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc,54b850b1-b646-4ef8-b8d6-817a3dc319bc,625505b6-24c8-4326-a96d-4ef5ffde3511,b6c197fa-c1d2-43ec-930f-57daf8c7aa9b,CARRIER_ACTION_PUT,9502b9cf-1833-a7cd-b3a6-646e05e26239,2,S001.M007.01.04
27/Oct/2023,01:00:01,organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc,54b850b1-b646-4ef8-b8d6-817a3dc319bc,625505b6-24c8-4326-a96d-4ef5ffde3511,b6c197fa-c1d2-43ec-930f-57daf8c7aa9b,CARRIER_ACTION_PUT,9502b9cf-1833-a7cd-b3a6-646e05e26239,2,S001.M007.01.04
27/Oct/2023,01:00:02,organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc,54b850b1-b646-4ef8-b8d6-817a3dc319bc,625505b6-24c8-4326-a96d-4ef5ffde3511,b6c197fa-c1d2-43ec-930f-57daf8c7aa9b,CARRIER_ACTION_PUT,9502b9cf-1833-a7cd-b3a6-646e05e26239,2,S001.M007.01.04
27/Oct/2023,01:30:00,organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc,54b850b1-b646-4ef8-b8d6-817a3dc319bc,625505b6-24c8-4326-a96d-4ef5ffde3511,b6c197fa-c1d2-43ec-930f-57daf8c7aa9b,CARRIER_ACTION_PICK,9502b9cf-1833-a7cd-b3a6-646e05e26239,2,S001.M007.01.04
27/Oct/2023,01:30:01,organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc,54b850b1-b646-4ef8-b8d6-817a3dc319bc,625505b6-24c8-4326-a96d-4ef5ffde3511,b6c197fa-c1d2-43ec-930f-57daf8c7aa9b,CARRIER_ACTION_PICK,9502b9cf-1833-a7cd-b3a6-646e05e26239,2,S001.M007.01.04
27/Oct/2023,01:30:02,organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc,54b850b1-b646-4ef8-b8d6-817a3dc319bc,625505b6-24c8-4326-a96d-4ef5ffde3511,b6c197fa-c1d2-43ec-930f-57daf8c7aa9b,CARRIER_ACTION_PICK,9502b9cf-1833-a7cd-b3a6-646e05e26239,2,S001.M007.01.04
27/Oct/2023,02:00:00,organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc,54b850b1-b646-4ef8-b8d6-817a3dc319bc,625505b6-24c8-4326-a96d-4ef5ffde3511,b6c197fa-c1d2-43ec-930f-57daf8c7aa9b,CARRIER_ACTION_PUT,9502b9cf-1833-a7cd-b3a6-646e05e26239,2,S001.M004.02.01
27/Oct/2023,01:00:00,organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc,54b850b1-b646-4ef8-b8d6-817a3dc319bc,625505b6-24c8-4326-a96d-4ef5ffde3511,b6c197fa-c1d2-43ec-930f-57daf8c7aa9b,CARRIER_ACTION_PUT,9502b9cf-1833-a7cd-b3a6-646e05e26239,2,S001.M007.01.04
27/Oct/2023,01:00:01,organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc,54b850b1-b646-4ef8-b8d6-817a3dc319bc,625505b6-24c8-4326-a96d-4ef5ffde3511,b6c197fa-c1d2-43ec-930f-57daf8c7aa9b,CARRIER_ACTION_PUT,9502b9cf-1833-a7cd-b3a6-646e05e26239,2,S001.M007.01.04
27/Oct/2023,01:00:02,organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc,54b850b1-b646-4ef8-b8d6-817a3dc319bc,625505b6-24c8-4326-a96d-4ef5ffde3511,b6c197fa-c1d2-43ec-930f-57daf8c7aa9b,CARRIER_ACTION_PUT,9502b9cf-1833-a7cd-b3a6-646e05e26239,2,S001.M007.01.04
