Bestandsmenge,Kapazität,Lagernutzungsgrad,Bestandsgenauigkeit,Durchschnittliche Wartezeit,Lagerumschlagsrate,Reichweite,Wiederbeschaffungszeit
2,8,25,100,0.101122685185185,0.807025462962963,0.75275462962963,0.662800925925926
LD2,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazität,Losgröße,Lead Time
Box 1,1,0.69025462962963,7.86458333333333E-02,7,3,1,0.105532407407407
Box 2,1,0.60505787037037,0.937326388888889,-,-,-,-
Box 3,0,0,0,-,-,-,-
Box 4,0,0,0,-,-,-,-
Box 5,0,0,0,-,-,-,-
Box 6,0,0,0,-,-,-,-
Box 7,0,0,0,-,-,-,-
Box 8,0,0,0,-,-,-,-
