ID,Wiederbeschaffungszeit,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0
12.0,0.0,,,,,,,,,,
,,13.0,,,,,,,,,
,,0.0,,,,,,,,,
,,,13.0,,,,,,,,
,,,0.0,,,,,,,,
,,,,25.0,,,,,,,
,,,,0.0,,,,,,,
,,,,,25.0,,,,,,
,,,,,0.0,,,,,,
,,,,,26.0,,,,,,
,,,,,0.0,,,,,,
,,,,,,25.0,,,,,
,,,,,,0.0,,,,,
,,,,,,26.0,,,,,
,,,,,,0.0,,,,,
,,,,,,27.0,,,,,
,,,,,,0.0,,,,,
,,,,,,,26.0,,,,
,,,,,,,0.0,,,,
,,,,,,,27.0,,,,
,,,,,,,0.0,,,,
,,,,,,,,27.0,,,
,,,,,,,,0.0,,,
,,,,,,,,,98.0,,
,,,,,,,,,0.0,,
,,,,,,,,,,98.0,
,,,,,,,,,,0.0,
,,,,,,,,,,99.0,
,,,,,,,,,,0.0,
,,,,,,,,,,,98.0
,,,,,,,,,,,0.0
,,,,,,,,,,,99.0
,,,,,,,,,,,0.0
,,,,,,,,,,,100.0
,,,,,,,,,,,0.0
