Besetzt,ID,Date_in,Timestamp_in,Date_out,Timestamp_out
False,16,30/Oct/2023,13:00:00,30/Oct/2023,13:30:00
False,17,30/Oct/2023,13:00:01,30/Oct/2023,13:30:01
False,18,30/Oct/2023,13:00:02,30/Oct/2023,13:30:02
False,50,30/Oct/2023,13:00:00,30/Oct/2023,13:30:00
False,51,30/Oct/2023,13:00:01,30/Oct/2023,13:30:01
False,52,30/Oct/2023,13:00:02,30/Oct/2023,13:30:02
True,108,30/Oct/2023,13:00:00,,
True,109,30/Oct/2023,13:00:01,,
True,110,30/Oct/2023,13:00:02,,
True,111,30/Oct/2023,13:00:03,,
True,112,30/Oct/2023,13:00:04,,
