ID,Wiederbeschaffungszeit,0,0.1,0.2,0.3,0.4,0.5,0.6,0
18.0,5400.0,,,,,,,,
,,19.0,,,,,,,
,,1800.0,,,,,,,
,,,19.0,,,,,,
,,,1800.0,,,,,,
,,,20.0,,,,,,
,,,1800.0,,,,,,
,,,,19.0,,,,,
,,,,1800.0,,,,,
,,,,20.0,,,,,
,,,,1800.0,,,,,
,,,,,20.0,,,,
,,,,,1800.0,,,,
,,,,,,45.0,,,
,,,,,,1800.0,,,
,,,,,,,45.0,,
,,,,,,,1800.0,,
,,,,,,,46.0,,
,,,,,,,1800.0,,
,,,,,,,,45.0,
,,,,,,,,1800.0,
,,,,,,,,46.0,
,,,,,,,,1800.0,
,,,,,,,,47.0,
,,,,,,,,1800.0,
,,,,,,,,,45.0
,,,,,,,,,1800.0
,,,,,,,,,46.0
,,,,,,,,,1800.0
,,,,,,,,,47.0
,,,,,,,,,1800.0
,,,,,,,,,48.0
,,,,,,,,,1800.0
