Besetzt,ID,Date_in,Timestamp_in,Date_out,Timestamp_out
False,18,27/Oct/2023,13:00:00,27/Oct/2023,13:30:00
False,19,27/Oct/2023,13:00:01,27/Oct/2023,13:30:01
False,42,27/Oct/2023,13:00:00,27/Oct/2023,13:30:00
False,43,27/Oct/2023,13:00:01,27/Oct/2023,13:30:01
False,44,27/Oct/2023,13:00:02,27/Oct/2023,13:30:02
False,45,27/Oct/2023,13:00:03,27/Oct/2023,13:30:03
False,46,27/Oct/2023,13:00:04,27/Oct/2023,13:30:04
True,104,27/Oct/2023,13:00:00,,
True,105,27/Oct/2023,13:00:01,,
True,106,27/Oct/2023,13:00:02,,
