ID,Wiederbeschaffungszeit,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.10,0.11,0
16.0,0.0,,,,,,,,,,,,,
,,17.0,,,,,,,,,,,,
,,0.0,,,,,,,,,,,,
,,,17.0,,,,,,,,,,,
,,,0.0,,,,,,,,,,,
,,,,52.0,,,,,,,,,,
,,,,0.0,,,,,,,,,,
,,,,,52.0,,,,,,,,,
,,,,,0.0,,,,,,,,,
,,,,,53.0,,,,,,,,,
,,,,,0.0,,,,,,,,,
,,,,,,52.0,,,,,,,,
,,,,,,0.0,,,,,,,,
,,,,,,53.0,,,,,,,,
,,,,,,0.0,,,,,,,,
,,,,,,54.0,,,,,,,,
,,,,,,0.0,,,,,,,,
,,,,,,,52.0,,,,,,,
,,,,,,,0.0,,,,,,,
,,,,,,,53.0,,,,,,,
,,,,,,,0.0,,,,,,,
,,,,,,,54.0,,,,,,,
,,,,,,,0.0,,,,,,,
,,,,,,,55.0,,,,,,,
,,,,,,,0.0,,,,,,,
,,,,,,,,53.0,,,,,,
,,,,,,,,0.0,,,,,,
,,,,,,,,54.0,,,,,,
,,,,,,,,0.0,,,,,,
,,,,,,,,55.0,,,,,,
,,,,,,,,0.0,,,,,,
,,,,,,,,,54.0,,,,,
,,,,,,,,,0.0,,,,,
,,,,,,,,,55.0,,,,,
,,,,,,,,,0.0,,,,,
,,,,,,,,,,55.0,,,,
,,,,,,,,,,0.0,,,,
,,,,,,,,,,,102.0,,,
,,,,,,,,,,,0.0,,,
,,,,,,,,,,,,102.0,,
,,,,,,,,,,,,0.0,,
,,,,,,,,,,,,103.0,,
,,,,,,,,,,,,0.0,,
,,,,,,,,,,,,,102.0,
,,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,103.0,
,,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,104.0,
,,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,102.0
,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,103.0
,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,104.0
,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,105.0
,,,,,,,,,,,,,,0.0
