ID,Wiederbeschaffungszeit,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.10,0.11,0
6.0,0.0,,,,,,,,,,,,,
,,7.0,,,,,,,,,,,,
,,0.0,,,,,,,,,,,,
,,,7.0,,,,,,,,,,,
,,,0.0,,,,,,,,,,,
,,,8.0,,,,,,,,,,,
,,,0.0,,,,,,,,,,,
,,,,7.0,,,,,,,,,,
,,,,0.0,,,,,,,,,,
,,,,8.0,,,,,,,,,,
,,,,0.0,,,,,,,,,,
,,,,,8.0,,,,,,,,,
,,,,,0.0,,,,,,,,,
,,,,,,41.0,,,,,,,,
,,,,,,0.0,,,,,,,,
,,,,,,,41.0,,,,,,,
,,,,,,,0.0,,,,,,,
,,,,,,,42.0,,,,,,,
,,,,,,,0.0,,,,,,,
,,,,,,,,41.0,,,,,,
,,,,,,,,0.0,,,,,,
,,,,,,,,42.0,,,,,,
,,,,,,,,0.0,,,,,,
,,,,,,,,43.0,,,,,,
,,,,,,,,0.0,,,,,,
,,,,,,,,,41.0,,,,,
,,,,,,,,,0.0,,,,,
,,,,,,,,,42.0,,,,,
,,,,,,,,,0.0,,,,,
,,,,,,,,,43.0,,,,,
,,,,,,,,,0.0,,,,,
,,,,,,,,,44.0,,,,,
,,,,,,,,,0.0,,,,,
,,,,,,,,,,42.0,,,,
,,,,,,,,,,0.0,,,,
,,,,,,,,,,43.0,,,,
,,,,,,,,,,0.0,,,,
,,,,,,,,,,44.0,,,,
,,,,,,,,,,0.0,,,,
,,,,,,,,,,,43.0,,,
,,,,,,,,,,,0.0,,,
,,,,,,,,,,,44.0,,,
,,,,,,,,,,,0.0,,,
,,,,,,,,,,,,44.0,,
,,,,,,,,,,,,0.0,,
,,,,,,,,,,,,,100.0,
,,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,100.0
,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,101.0
,,,,,,,,,,,,,,0.0
