ID,Wiederbeschaffungszeit,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0
14.0,0.0,,,,,,,,,,
,,15.0,,,,,,,,,
,,0.0,,,,,,,,,
,,,15.0,,,,,,,,
,,,0.0,,,,,,,,
,,,,36.0,,,,,,,
,,,,0.0,,,,,,,
,,,,,36.0,,,,,,
,,,,,0.0,,,,,,
,,,,,37.0,,,,,,
,,,,,0.0,,,,,,
,,,,,,36.0,,,,,
,,,,,,0.0,,,,,
,,,,,,37.0,,,,,
,,,,,,0.0,,,,,
,,,,,,38.0,,,,,
,,,,,,0.0,,,,,
,,,,,,,37.0,,,,
,,,,,,,0.0,,,,
,,,,,,,38.0,,,,
,,,,,,,0.0,,,,
,,,,,,,,38.0,,,
,,,,,,,,0.0,,,
,,,,,,,,,95.0,,
,,,,,,,,,0.0,,
,,,,,,,,,,95.0,
,,,,,,,,,,0.0,
,,,,,,,,,,96.0,
,,,,,,,,,,0.0,
,,,,,,,,,,,95.0
,,,,,,,,,,,0.0
,,,,,,,,,,,96.0
,,,,,,,,,,,0.0
,,,,,,,,,,,97.0
,,,,,,,,,,,0.0
