ID,Wiederbeschaffungszeit,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.10,0.11,0.12,0.13,0.14,0.15,0
20.0,0.0,,,,,,,,,,,,,,,,,
,,21.0,,,,,,,,,,,,,,,,
,,0.0,,,,,,,,,,,,,,,,
,,,21.0,,,,,,,,,,,,,,,
,,,0.0,,,,,,,,,,,,,,,
,,,22.0,,,,,,,,,,,,,,,
,,,0.0,,,,,,,,,,,,,,,
,,,,21.0,,,,,,,,,,,,,,
,,,,0.0,,,,,,,,,,,,,,
,,,,22.0,,,,,,,,,,,,,,
,,,,0.0,,,,,,,,,,,,,,
,,,,,22.0,,,,,,,,,,,,,
,,,,,0.0,,,,,,,,,,,,,
,,,,,,58.0,,,,,,,,,,,,
,,,,,,0.0,,,,,,,,,,,,
,,,,,,,58.0,,,,,,,,,,,
,,,,,,,0.0,,,,,,,,,,,
,,,,,,,59.0,,,,,,,,,,,
,,,,,,,0.0,,,,,,,,,,,
,,,,,,,,58.0,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,
,,,,,,,,59.0,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,
,,,,,,,,60.0,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,
,,,,,,,,,58.0,,,,,,,,,
,,,,,,,,,0.0,,,,,,,,,
,,,,,,,,,59.0,,,,,,,,,
,,,,,,,,,0.0,,,,,,,,,
,,,,,,,,,60.0,,,,,,,,,
,,,,,,,,,0.0,,,,,,,,,
,,,,,,,,,61.0,,,,,,,,,
,,,,,,,,,0.0,,,,,,,,,
,,,,,,,,,,58.0,,,,,,,,
,,,,,,,,,,0.0,,,,,,,,
,,,,,,,,,,59.0,,,,,,,,
,,,,,,,,,,0.0,,,,,,,,
,,,,,,,,,,60.0,,,,,,,,
,,,,,,,,,,0.0,,,,,,,,
,,,,,,,,,,61.0,,,,,,,,
,,,,,,,,,,0.0,,,,,,,,
,,,,,,,,,,62.0,,,,,,,,
,,,,,,,,,,0.0,,,,,,,,
,,,,,,,,,,,59.0,,,,,,,
,,,,,,,,,,,0.0,,,,,,,
,,,,,,,,,,,60.0,,,,,,,
,,,,,,,,,,,0.0,,,,,,,
,,,,,,,,,,,61.0,,,,,,,
,,,,,,,,,,,0.0,,,,,,,
,,,,,,,,,,,62.0,,,,,,,
,,,,,,,,,,,0.0,,,,,,,
,,,,,,,,,,,,60.0,,,,,,
,,,,,,,,,,,,0.0,,,,,,
,,,,,,,,,,,,61.0,,,,,,
,,,,,,,,,,,,0.0,,,,,,
,,,,,,,,,,,,62.0,,,,,,
,,,,,,,,,,,,0.0,,,,,,
,,,,,,,,,,,,,61.0,,,,,
,,,,,,,,,,,,,0.0,,,,,
,,,,,,,,,,,,,62.0,,,,,
,,,,,,,,,,,,,0.0,,,,,
,,,,,,,,,,,,,,62.0,,,,
,,,,,,,,,,,,,,0.0,,,,
,,,,,,,,,,,,,,,83.0,,,
,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,,,,,,,,,83.0,,
,,,,,,,,,,,,,,,,0.0,,
,,,,,,,,,,,,,,,,84.0,,
,,,,,,,,,,,,,,,,0.0,,
,,,,,,,,,,,,,,,,,83.0,
,,,,,,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,84.0,
,,,,,,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,85.0,
,,,,,,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,83.0
,,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,,84.0
,,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,,85.0
,,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,,86.0
,,,,,,,,,,,,,,,,,,0.0
