Besetzt,ID,Date_in,Timestamp_in,Date_out,Timestamp_out
False,54,27/Oct/2023,13:00:00,27/Oct/2023,13:30:00
False,55,27/Oct/2023,13:00:01,27/Oct/2023,13:30:01
False,56,27/Oct/2023,13:00:00,27/Oct/2023,13:30:00
False,57,27/Oct/2023,13:00:01,27/Oct/2023,13:30:01
False,63,27/Oct/2023,13:00:00,27/Oct/2023,13:30:00
False,64,27/Oct/2023,13:00:01,27/Oct/2023,13:30:01
False,65,27/Oct/2023,13:00:00,27/Oct/2023,13:30:00
False,66,27/Oct/2023,13:00:01,27/Oct/2023,13:30:01
False,67,27/Oct/2023,13:00:02,27/Oct/2023,13:30:02
False,68,27/Oct/2023,13:00:00,27/Oct/2023,13:30:00
False,69,27/Oct/2023,13:00:01,27/Oct/2023,13:30:01
False,70,27/Oct/2023,13:00:02,27/Oct/2023,13:30:02
False,71,27/Oct/2023,13:00:00,27/Oct/2023,13:30:00
False,72,27/Oct/2023,13:00:01,27/Oct/2023,13:30:01
False,76,27/Oct/2023,13:00:00,27/Oct/2023,13:30:00
False,77,27/Oct/2023,13:00:01,27/Oct/2023,13:30:01
False,78,27/Oct/2023,13:00:02,27/Oct/2023,13:30:02
False,79,27/Oct/2023,13:00:00,27/Oct/2023,13:30:00
False,80,27/Oct/2023,13:00:01,27/Oct/2023,13:30:01
False,81,27/Oct/2023,13:00:02,27/Oct/2023,13:30:02
False,82,27/Oct/2023,13:00:03,27/Oct/2023,13:30:03
True,89,27/Oct/2023,13:00:00,,
True,90,27/Oct/2023,13:00:01,,
