ID,Wiederbeschaffungszeit,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0
4.0,0.0,,,,,,,,,,,
,,5.0,,,,,,,,,,
,,0.0,,,,,,,,,,
,,,5.0,,,,,,,,,
,,,0.0,,,,,,,,,
,,,,49.0,,,,,,,,
,,,,0.0,,,,,,,,
,,,,,49.0,,,,,,,
,,,,,0.0,,,,,,,
,,,,,50.0,,,,,,,
,,,,,0.0,,,,,,,
,,,,,,49.0,,,,,,
,,,,,,0.0,,,,,,
,,,,,,50.0,,,,,,
,,,,,,0.0,,,,,,
,,,,,,51.0,,,,,,
,,,,,,0.0,,,,,,
,,,,,,,50.0,,,,,
,,,,,,,0.0,,,,,
,,,,,,,51.0,,,,,
,,,,,,,0.0,,,,,
,,,,,,,,51.0,,,,
,,,,,,,,0.0,,,,
,,,,,,,,,108.0,,,
,,,,,,,,,0.0,,,
,,,,,,,,,,108.0,,
,,,,,,,,,,0.0,,
,,,,,,,,,,109.0,,
,,,,,,,,,,0.0,,
,,,,,,,,,,,108.0,
,,,,,,,,,,,0.0,
,,,,,,,,,,,109.0,
,,,,,,,,,,,0.0,
,,,,,,,,,,,110.0,
,,,,,,,,,,,0.0,
,,,,,,,,,,,,108.0
,,,,,,,,,,,,0.0
,,,,,,,,,,,,109.0
,,,,,,,,,,,,0.0
,,,,,,,,,,,,110.0
,,,,,,,,,,,,0.0
,,,,,,,,,,,,111.0
,,,,,,,,,,,,0.0
