Date,Hour,Type,Module,Message
30/Oct/2023,01:29:45,INFO,main,Starting application...
30/Oct/2023,01:29:45,INFO,main,ils-api access: True
30/Oct/2023,01:29:45,DEBUG,main,Starting process: 'OrganisationEventProcessor-1'
30/Oct/2023,01:29:45,INFO,ils_event_consumer,Starting consumer...
30/Oct/2023,01:29:46,INFO,events_processor,OrganisationEventProcessor Running!
30/Oct/2023,01:29:46,DEBUG,ils_event_consumer,"KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={""header"":{""traceId"":""78abf456-af6c-4650-a4bb-89f505ebbb94"",""id"":""3743d579-bd80-4d07-b34c-19a03792e95b"",""organisationId"":""b6c197fa-c1d2-43ec-930f-57daf8c7aa9b"",""timestamp"":""2023-10-30T12:07:21.490449030Z""},""body"":{""action"":{""carrier"":{""laneAddress"":""S001.M003.02.02"",""carrierActionType"":""CARRIER_ACTION_PUT"",""locationType"":""LOCATION_PRIMARY"",""carrierId"":"""",""currentCount"":5}}}}]"
30/Oct/2023,01:29:46,DEBUG,ils_event_consumer,"KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={""header"":{""traceId"":""eb8dd78a-a698-4f94-bf6c-648b681d5306"",""id"":""da4a26fd-07cd-49c0-969c-c2af928995e3"",""organisationId"":""b6c197fa-c1d2-43ec-930f-57daf8c7aa9b"",""timestamp"":""2023-10-30T12:07:21.491814577Z""},""body"":{""action"":{""carrier"":{""laneAddress"":""S001.M003.02.02"",""carrierActionType"":""CARRIER_ACTION_PICK"",""locationType"":""LOCATION_PRIMARY"",""carrierId"":"""",""currentCount"":4}}}}]"
30/Oct/2023,01:29:46,DEBUG,organisation_event_processor,handling a action event...
30/Oct/2023,01:29:46,DEBUG,organisation_event_processor,handling a action event...
30/Oct/2023,01:29:46,INFO,organisation_event_processor,signal linked lane S001.M003.02.02 -> 266b32ef-d2e6-4b6a-979d-ab161cd5b83a
30/Oct/2023,01:29:46,DEBUG,organisation_event_processor,"Exception when calling ILS API: a bytes-like object is required, not 'str'"
30/Oct/2023,01:29:46,ERROR,organisation_event_processor,"Exception when calling ILS API: (500)Reason: Internal Server ErrorHTTP response headers: HTTPHeaderDict({'Cache-Control': 'no-cache, no-store, max-age=0, must-revalidate', 'Content-Type': 'application/json', 'Date': 'Mon, 30 Oct 2023 12:29:46 GMT', 'Expires': '0', 'Pragma': 'no-cache', 'Strict-Transport-Security': 'max-age=31536000 ; includeSubDomains', 'X-Content-Type-Options': 'nosniff', 'X-Frame-Options': 'DENY', 'X-Xss-Protection': '1; mode=block', 'Transfer-Encoding': 'chunked'})HTTP response body: b'{""timestamp"":""2023-10-30T12:29:46.864059268Z"",""status"":500,""message"":""Unknown error!""}'"
30/Oct/2023,01:29:47,ERROR,organisation_event_processor,"Exception when calling ILS API: (404)Reason: Not FoundHTTP response headers: HTTPHeaderDict({'Cache-Control': 'no-cache, no-store, max-age=0, must-revalidate', 'Content-Type': 'application/json', 'Date': 'Mon, 30 Oct 2023 12:29:46 GMT', 'Expires': '0', 'Pragma': 'no-cache', 'Strict-Transport-Security': 'max-age=31536000 ; includeSubDomains', 'Vary': 'Origin, Access-Control-Request-Method, Access-Control-Request-Headers', 'X-Content-Type-Options': 'nosniff', 'X-Frame-Options': 'DENY', 'X-Xss-Protection': '1; mode=block', 'Transfer-Encoding': 'chunked'})HTTP response body: b'{""timestamp"":""2023-10-30T12:29:46.942+00:00"",""status"":404,""error"":""Not Found"",""path"":""/v1beta1/kanban/control-cycles/15c5e6f6-a406-4f02-bac3-0521d51f86fc/cards:associate-carrier/""}'"
30/Oct/2023,01:29:47,DEBUG,organisation_event_processor,"Exception when calling ILS API: a bytes-like object is required, not 'str'"
30/Oct/2023,01:29:47,DEBUG,organisation_event_processor,"Exception when calling ILS API: a bytes-like object is required, not 'str'"
30/Oct/2023,01:29:51,INFO,ils_event_consumer,"Shutting down signal 'SIGINT' received, starting to stop consumer!"
30/Oct/2023,01:29:51,INFO,ils_event_consumer,Ordering consumer to stop!
30/Oct/2023,01:29:51,DEBUG,ils_event_consumer,Warning Event Processors to stop!
30/Oct/2023,01:29:51,DEBUG,ils_event_consumer,Closing consumer!
30/Oct/2023,01:29:51,INFO,events_processor,OrganisationEventProcessor received order to stop!
30/Oct/2023,01:29:51,INFO,events_processor,All messages in OrganisationEventProcessor processing queue have been processed. Shutting down...
30/Oct/2023,01:29:51,DEBUG,ils_event_consumer,Consumer has been shutdown!
30/Oct/2023,01:29:51,DEBUG,main,Ending process: 'OrganisationEventProcessor-1'
30/Oct/2023,01:29:51,INFO,main,Process OrganisationEventProcessor-1 as fully stopped!
30/Oct/2023,01:29:54,INFO,main,Starting application...
30/Oct/2023,01:29:55,INFO,main,ils-api access: True
30/Oct/2023,01:29:55,DEBUG,main,Starting process: 'OrganisationEventProcessor-1'
30/Oct/2023,01:29:55,INFO,ils_event_consumer,Starting consumer...
30/Oct/2023,01:29:56,INFO,events_processor,OrganisationEventProcessor Running!
30/Oct/2023,01:34:17,DEBUG,ils_event_consumer,"KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={""header"":{""traceId"":""c2242c3d-01c7-48bb-8dbc-e0ae1cd60708"",""id"":""e469cbd5-fe2b-4dd9-a08e-05ca447ceed6"",""organisationId"":""b6c197fa-c1d2-43ec-930f-57daf8c7aa9b"",""timestamp"":""2023-10-30T12:34:17.484087089Z""},""body"":{""action"":{""carrier"":{""laneAddress"":""S001.M006.02.02"",""carrierActionType"":""CARRIER_ACTION_PICK"",""locationType"":""LOCATION_PRIMARY"",""carrierId"":"""",""currentCount"":2}}}}]"
30/Oct/2023,01:34:17,DEBUG,organisation_event_processor,handling a action event...
30/Oct/2023,01:34:17,INFO,organisation_event_processor,signal linked lane S001.M006.02.02 -> 1a6acfef-0beb-4115-80c2-9c9cf02c6208
30/Oct/2023,01:34:17,DEBUG,organisation_event_processor,"Exception when calling ILS API: a bytes-like object is required, not 'str'"
