Bestandsmenge,Kapazitaet,Lagernutzungsgrad,Bestandsgenauigkeit,Durchschnittliche Wartezeit,Lagerumschlagsrate,Reichweite,Wiederbeschaffungszeit
2,8,25,100,0.2565625,2.75694444444444E-02,0.405405092592593,0.636863425925926
FK5,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,1,5.97106481481481E-02,0.886157407407407,4,3,3,7.70949074074074E-02
Box 2,1,0.265439814814815,2.19328703703704E-02,-,-,-,-
Box 3,0,0,0,-,-,-,-
Box 4,0,0,0,-,-,-,-
Box 5,0,0,0,-,-,-,-
Box 6,0,0,0,-,-,-,-
Box 7,0,0,0,-,-,-,-
Box 8,0,0,0,-,-,-,-
