ID,Wiederbeschaffungszeit,0,0.1,0.2,0.3,0.4,0.5,0.6,0
9.0,5400.0,,,,,,,,
,,10.0,,,,,,,
,,1800.0,,,,,,,
,,,10.0,,,,,,
,,,1800.0,,,,,,
,,,11.0,,,,,,
,,,1800.0,,,,,,
,,,,10.0,,,,,
,,,,1800.0,,,,,
,,,,11.0,,,,,
,,,,1800.0,,,,,
,,,,,11.0,,,,
,,,,,1800.0,,,,
,,,,,,75.0,,,
,,,,,,1800.0,,,
,,,,,,,75.0,,
,,,,,,,1800.0,,
,,,,,,,76.0,,
,,,,,,,1800.0,,
,,,,,,,,75.0,
,,,,,,,,1800.0,
,,,,,,,,76.0,
,,,,,,,,1800.0,
,,,,,,,,77.0,
,,,,,,,,1800.0,
,,,,,,,,,75.0
,,,,,,,,,1800.0
,,,,,,,,,76.0
,,,,,,,,,1800.0
,,,,,,,,,77.0
,,,,,,,,,1800.0
,,,,,,,,,78.0
,,,,,,,,,1800.0
