ID,Wiederbeschaffungszeit,0,0.1,0.2,0.3,0.4,0.5,0.6,0
1.0,5400.0,,,,,,,,
,,2.0,,,,,,,
,,1800.0,,,,,,,
,,,2.0,,,,,,
,,,1800.0,,,,,,
,,,3.0,,,,,,
,,,1800.0,,,,,,
,,,,2.0,,,,,
,,,,1800.0,,,,,
,,,,3.0,,,,,
,,,,1800.0,,,,,
,,,,,3.0,,,,
,,,,,1800.0,,,,
,,,,,,32.0,,,
,,,,,,1800.0,,,
,,,,,,,32.0,,
,,,,,,,1800.0,,
,,,,,,,33.0,,
,,,,,,,1800.0,,
,,,,,,,,32.0,
,,,,,,,,1800.0,
,,,,,,,,33.0,
,,,,,,,,1800.0,
,,,,,,,,34.0,
,,,,,,,,1800.0,
,,,,,,,,,32.0
,,,,,,,,,1800.0
,,,,,,,,,33.0
,,,,,,,,,1800.0
,,,,,,,,,34.0
,,,,,,,,,1800.0
,,,,,,,,,35.0
,,,,,,,,,1800.0
